Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
tire pressure gauge,84838,41.1,3174,26,40.5,0.9,35.3,-1.7,B01J8DLGU2,17,0.3,11.4,-2.8,B09YYJ58R6,12.5,0.9,11.9,0.7,B07X8GLGK3,11,-0.2,12,0.4,1000,63,34031,308226.2,81529,4.5
thermal paste,84838,7.5,2828,7,59.3,12.6,50.3,10.8,B0795DP124,30.1,6.6,23.6,4.5,B07KQ1T158,15.2,-2.8,13.8,-2.8,B011F7W3LU,14,8.9,12.9,9.1,321,88,,,128804,4.7
k cups,84838,-9.7,3009,-9,10.8,-1.5,4.7,-2.7,B00N0JIACS,4.8,-0.3,1.5,-0.5,B01N1A4MMW,3,-1.2,1.2,-1,B07P1ZFBRS,3,0,2,-1.2,3000,94,106608,2497273.06,154098,4.4
11x14 picture frame,84838,23.5,2977,19,30.3,3.4,26.7,3.3,B0BQR2BQYZ,16,0.9,14.5,0.8,B0CLNZPSND,8.4,1.7,8.5,3.9,B07VQZSLDW,5.9,0.9,3.6,-1.4,6000,,231767,2866877.93,80482,4.5
baseball rebounder,84838,3387,9294,96,97.1,56.6,17.6,-23.8,B0BW13B5J5,96,75,0,-19.1,B072P2398L,0.6,-12.3,8.8,-5.9,B0D549CPJ7,0.4,-6.1,8.8,1.1,254,38,1828,221850.15,1518,4.4
air tags-2 pack,84838,-9.6,2875,-17,69.5,-4.2,66.5,0.5,B0CWXNS552,52.4,-14,53.3,-9.2,B0D54JZTHY,13.9,10,12.4,10.8,B0CQS4YJVJ,3.2,-0.2,0.7,-1.1,2000,6,54068,2836767.15,2036,2.9
anua cleansing oil,84838,-9.8,2884,-25,82.7,-1.5,78.5,4.1,B0BN2PX8V3,60.2,-7,65.8,5.6,B0CMPSYW3M,15.4,3.5,8.5,-0.5,B0CX8X7LVM,7.1,2,4.2,-0.9,275,11,90065,1593238.36,11464,2.8
bra,84837,-18.8,2819,-16,8,-2.2,0.4,-0.3,B099ZKBTVB,3.5,-0.3,0.3,-0.2,B0D91B9GDC,2.8,-0.8,0,-0.2,B00GZBG5UW,1.7,-1.1,0.1,0.1,20000,,105349,1687472.52,132137,4.2
crochet kit for beginners,84837,4.6,2756,10,27.8,4.2,14.8,2.5,B08TYTQV1Y,11.8,2,6.4,2.7,B0B5RBBGC9,10.2,1.8,7.1,2,B07GKKT5VK,5.8,0.4,1.3,-2.1,1000,34,37115,1200606.13,9471,4.5
grown ups,84837,-42.8,2951,-7,91.9,0.4,0,0,B00BR9VLBK,48.9,-23.1,0,0,B0D3LJMX9D,22.4,6.3,0,0,B00FNSRDOK,20.7,17.2,0,0,411,,,,,
tiny house,84837,9.9,3756,3,35.4,-10.8,5.9,-1.4,B0D37Q4CWY,21.7,3.9,2.9,-1.9,B0D6GJ1DT6,7,-8.2,2.9,2.9,B0D773RMKY,6.7,-6.5,0,-2.4,7000,,10,393075.91,2,1
sh,84837,4.6,2720,21,78.9,3.2,0,0,B079HVCM8F,55.1,8.9,0,0,B079HTR1NV,18.2,-2,0,0,B079HT3F4M,5.6,-3.8,0,0,2000,,,,,
beyblade x,84837,43.6,2987,35,33,-1,24.7,2.1,B0CS8CM4YB,16.6,-0.6,10.9,0.8,B0CS8KQ2ZL,9.8,-1.7,9.1,0.1,B0CLFNMPF6,6.6,1.4,4.6,1.2,541,4,3492,127053.24,166,4.6
remarkably bright creatures by shelby van pelt,84837,9.5,3496,0,93.3,-2,49.7,-22,B09BNH4TLW,55.9,10.7,16.8,-18.9,0063204150,19.5,-13.1,28.4,-4.9,B09DTGQHKJ,17.9,0.4,4.5,1.8,80,,20073,355220.87,75584,1.5
air tags-4 pack apple,84837,-47.4,2759,-86,71.1,7.2,65.3,40.5,B0D54JZTHY,57,13.6,57.2,36.8,B0CWXNS552,10.1,-1.5,7.1,4.6,B0D5R2BCFZ,4,-4.9,1,-0.8,799,5,54535,2875359.53,2013,3
soap,84835,19.2,2921,10,12.4,1.1,11,0.4,B086K2KMNR,5.2,0.8,4,0.4,B079FV6PRH,3.7,0.1,3.6,0.5,B002TSA93Y,3.5,0.2,3.4,-0.4,10000,91,127240,1157912.36,147467,4.8
b12,84835,19.2,2929,13,27.9,-0.9,27,0.3,B00DS5BGDY,15.4,-0.7,14.9,-1.4,B00DYSUQR2,6.5,0.1,6.5,0.9,B005DXM32M,6,-0.3,5.6,0.8,1000,143,112853,1205548.31,124147,4.7
maple syrup,84835,19.2,2885,27,30.2,0.5,30.1,1.1,B074H5CN2X,14.5,1.2,14.8,1.8,B074H5LYTN,9.8,1,9.2,0.4,B074V3V186,5.9,-1.8,6,-1.1,725,40,3301,52842.5,34109,4.7
makeup vanity,84835,4.6,2764,-4,11.5,-2.2,6.8,-2,B0BRXTTVRQ,4.9,0,4,0.4,B0D4525GNQ,3.5,-1,2.1,-0.5,B0CKWCCSCR,3.2,-1.2,0.7,-1.9,2000,13,5218,922833.41,1608,3.7
creamer,84835,9.9,2805,21,15.8,2.2,15.2,1.7,B00451SGZ6,6.5,1.5,6.8,2.3,B07Z191DQ6,4.9,0.5,4.4,-0.2,B00MB2WJTU,4.5,0.2,4,-0.4,8000,115,67786,780609.54,59900,4.7
nail stickers,84835,4.5,2775,2,15.9,-5.9,4,-1.3,B08Z3QWWW6,7.8,-3.8,1.8,-1.4,B0CZ3GBJ83,4.1,-1,0.9,0.1,B0CJ2RXX4M,4.1,-1,1.3,0.1,10000,20,6245,56367.02,26709,3
wild kratts,84835,4.4,3138,-3,31.4,-7.3,0,0,B00C0YCGAQ,11.2,-7.5,0,0,B01NBAVX1F,10.7,-0.4,0,0,B00CUKIGZ4,9.5,0.6,0,0,421,,,,,
mini fan,84835,-23.8,2682,-28,28.1,2.5,16.5,1.5,B0BR3HFJZB,11.3,1.3,7.2,0.9,B0CSVCR2R2,8.8,-0.4,4.7,-0.8,B07QK9C9KT,8,1.7,4.7,1.4,3000,32,174585,2400005.05,61760,4.6
vacuum seal bags for clothing,84835,-9.8,2953,-23,52.2,-1.3,27.1,0.7,B0973DGD8P,21.7,-0.6,15.3,0.7,B07RN64P2R,19,-0.3,6.6,1.6,B0BMK4PHSB,11.5,-0.5,5.3,-1.6,548,41,99136,2401642.57,109369,2.9
glue,84833,8.3,2881,12,35.1,9,32.9,16.2,B0CRD97QJ3,14.5,4.4,17.1,9.9,B06X9DLDCJ,10.4,2.2,9.4,5,B072J37ZZD,10.1,2.5,6.4,1.3,9000,61,63585,347915.82,14786,4.7
flour,84833,19.2,2847,27,41,-6.2,37.4,-5.6,B07Z78Q8TB,15.1,-7.2,12.9,-9.5,B074JD6HHH,14.7,1.3,16,5.1,B000PL2W0U,11.1,-0.3,8.5,-1.2,2000,78,3682,11403.91,14090,4.7
meal prep containers,84833,19.8,2973,15,20.5,-4.5,9.8,-2.5,B08DKMQFNG,9.1,-1.4,4.1,-0.3,B0CP5VBGNM,5.8,-3.1,1.9,-0.9,B08CVTSHDL,5.6,0,3.9,-1.3,4000,38,32266,506080.6,27007,4.6
stainless steel cookware set,84833,4.6,3001,17,40,7.6,21.9,-1.7,B005H05SXM,17.2,5.1,13.1,4.8,B0CZ8F4CJN,16.2,5.4,7.2,0.2,B07Y3LHX7Q,6.7,-2.9,1.7,-6.7,6000,75,7105,1199111.36,16801,4.5
towel rack,84833,134.7,5653,32,33.5,20.9,9,1.6,B0D2GVP2FS,24.5,20,0.1,-4.6,B0D5BF3FVV,4.7,0.3,7.4,5.6,B0C53HH6CW,4.3,0.6,1.5,0.7,8000,8,3870,78642.31,1425,4.6
notebooks college ruled,84833,111.2,3507,49,23.1,1,20.2,5.1,B07DPLQMF9,8.6,-0.3,3.2,-4.5,B00P9U2EM8,7.8,-1,12.9,7.1,B07DPLLXS9,6.7,2.3,4.1,2.6,7000,,117023,833471.38,53146,4.8
club de nuit intense man,84833,11.4,3121,20,47.4,-10.6,41.1,-8.5,B00M3IFUMK,26,-8.2,24.3,-12,B07YCLPMT6,11.4,-1.6,14.7,11.9,B0CXS6BMZJ,10,-0.8,2.1,-8.3,370,63,4459,147628.49,76924,4.3
egg holder for fridge,84833,-35.8,3151,-14,26.5,6.6,20.2,8.3,B09CD69XSW,14.7,5.7,13.5,7.9,B0B44HBRH9,6.8,1,4.1,-0.7,B0B9BLD7BK,5,-0.1,2.6,1.1,1000,31,17665,255608.15,10550,4.5
proximity,84833,1918.9,8130,93,94.4,3.3,0,0,B0CJH981C6,54.9,-27.6,0,0,B08713LSXD,36.9,32.4,0,0,B0CJHLC9M3,2.7,-1.5,0,0,10000,,,,,
printer paper 8.5 x 11 white amazon basics,84833,19.1,2794,22,52.9,-6.4,48,-5.3,B001AFL8GY,22.7,-3,21.9,-3.1,B01FV0F75G,18.6,-1.4,16,-0.5,B01FV0F8H8,11.5,-2,10.1,-1.7,267,128,181190,2465711.86,419869,4.8
conditioner,84831,4.8,2950,5,20.4,3.8,18.9,3.6,B00TBJSR3I,10.2,1.8,10,1.9,B07CLD17F5,5.8,1.6,5.6,2.6,B09HHHH8B3,4.4,0.4,3.3,-0.8,20000,75,14281,94141.58,3966,3.1
flea treatment for cats,84831,19.2,2944,17,27.8,-3.1,14.7,-4.1,B07N9LSPRY,12.4,0.9,6.4,0.6,B07Q1TKTP9,8.3,-2.3,5.4,-2.5,B004QBDO0M,7.1,-1.7,2.9,-2.3,221,99,182398,7527836.93,179060,4.5
toys for ages 2-4,84831,-18.8,2738,-21,11.3,0.1,7.7,1.1,B06XL1B7QN,4.8,0.6,2.3,0.2,B0CGV5K97C,3.5,-0.5,2.9,0.8,B0B9HV6SVG,3,0.1,2.6,0.2,50000,43,48040,1113501.17,18443,4.6
candle,84829,8,2941,13,18.6,1.6,16,2.8,B07GH691SQ,10.2,3,8.8,3.3,B0BLXG995R,4.7,-0.4,3.4,-0.2,B000ORX6WI,3.8,-1,3.8,-0.2,20000,102,51713,714886.61,80497,4.5
vinegar,84829,4.6,2831,15,42,-2.6,36.7,-1.3,B07MGKCV5Y,14.9,-1.8,19.3,5.2,B08P5569PX,14,-1.3,7.3,-0.9,B074J6FD4L,13.2,0.6,10,-5.5,2000,43,32752,383154.62,15140,4.8
cat food wet,84829,19.1,2922,11,20.6,3.3,16.8,2.1,B00283MYSI,7.5,1.3,5.8,1.1,B001STX13U,7.4,1.3,6.6,1.2,B006FTJ0NI,5.7,0.7,4.4,-0.1,2000,199,194230,3442309.24,87527,4.7
usbc charger,84829,269.4,3071,80,33.9,-1,22.2,-3.9,B0C8HHV9DK,14.3,-2.5,11.7,-2.5,B09KR8P3L5,10.8,-0.2,6.6,-0.8,B01GGKZ2SC,8.8,1.7,3.9,-0.5,10000,48,20897,369910.9,15884,3.1
curtain rods no drilling,84829,19.2,2968,16,34.2,3,20.8,3.9,B09KMT2P5F,20,3.2,16.6,3.3,B073Q7Q9B7,7.7,0.1,2.6,-0.1,B0CGZPZJS4,6.5,-0.3,1.6,0.7,2000,45,57961,609545.03,19985,2.5
tro,84829,126.9,3051,68,61.3,-19.9,0,0,B09X4VVMHG,22.3,-21.8,0,0,B09T2QMZ1Q,19.8,-12.1,0,0,B086H4Z5XD,19.3,13.9,0,0,96,,,,,
womens socks,84827,7.7,3025,23,10.8,0.1,5.6,1.4,B014D3KZIQ,3.9,0.1,2.3,0.4,B084R3MZ6J,3.6,0,1.5,0.1,B00JVTNWB0,3.2,0,1.8,0.9,80000,,156454,1705475.21,52962,4.6
usb c charger,84827,-9.5,2813,-19,29.8,1.2,24.3,1.7,B0C8HHV9DK,15.4,-1.4,13.7,-0.7,B09KR8P3L5,7.5,-1.4,4.4,-0.9,B08G4GRQYV,6.8,4.1,6.2,3.4,10000,34,39972,554133.5,26800,4.6
mouse pad with wrist rest,84827,23.5,2913,27,27.6,2.2,20.1,4,B06X3W3TM4,10.3,0.2,9.7,-1.4,B07DVCGX7G,8.9,0,9.3,8.1,B0BWMXZPGQ,8.4,2.1,1.2,-2.8,3000,62,31794,294372.51,28892,3.1
distilled water,84827,15.9,2969,17,46,-1.6,31.3,-2,B07VD4KN28,20.9,1.2,19.2,-0.1,B0BSFSFRVX,15.2,-0.4,8,0.1,B0BFK1C5LB,9.9,-2.5,4,-2,5000,35,866,260.36,11557,4.6
milwaukee,84827,-45.8,2905,-46,20.3,5.6,16.8,3.3,B00J2N2JZK,8.4,2.1,12.2,3.3,B006CSRBTC,7.7,3.2,2.7,-0.1,B0BB8H1NKX,4.2,0.3,2,0,20000,103,10742,424017.58,10577,4.7
nova hair dye shampoo,84827,4.5,3013,21,27,-4.2,13.4,0.7,B0D5HL2FPL,13.3,-1.5,6.6,0.5,B0DBKX5JQ7,7,-1.6,4.5,0.7,B0D8T37YQM,6.7,-1.1,2.3,-0.6,267,4,4300,88885.59,257,3
apple watch bands,84825,-37.9,2890,-34,12.5,3,5.8,1.7,B0B2ZYHJKP,6.6,3,3.5,1.7,B0CT5B4PTF,3.1,0,1.5,0.3,B0BR93H51V,2.8,0,0.8,-0.3,10000,,56791,603940.24,45890,4.6
waterproof headphones for swimming,84825,38.6,5608,36,90.6,11.5,20.7,11.3,B0D89L6YSN,86.4,12.3,0.9,0.9,B0CFB159QT,3.3,0.6,12.8,9,B0BNZ2XT34,0.9,-1.4,7.1,1.4,973,13,3848,141629.72,3178,4.1
bad boys for life,84825,68,3026,74,88.3,2.2,0,0,B0D52LSLMK,55.4,-9.3,0,0,B083ZGS89T,28.2,16.5,0,0,B0D488C7RP,4.7,-4.9,0,0,2000,,,,,
men footwear,84825,4.5,2871,-3,14.2,-4,0,0,B087F6WT38,4.9,-2.6,0,0,B0D2DW18RN,4.8,-0.8,0,0,B0D919GXPW,4.5,-0.6,0,0,60000,,53209,0,21910,4.5
momcozy breast pump,84825,-42.6,2844,-44,67.1,2.9,37.5,0.7,B0BXH491H2,40.5,8.2,24,8.1,B0C5D6ZCVQ,14.9,-1.2,7.1,-3.6,B0CV3NNN5L,11.8,-4.1,6.4,-3.8,365,10,32901,6149457.28,5622,4.3
computer,84824,-9.7,2974,-17,23.4,6.3,14.7,5.5,B0947BJ67M,11,4.2,8.4,4.3,B09TN242Q5,8.1,2.8,4,1.4,B0B6523VBD,4.3,-0.7,2.3,-0.2,50000,33,4397,997499.11,4391,3.9
bath mats for bathroom,84824,-8.7,2982,-11,26.7,0.4,12.3,0.2,B0CFGYFCYL,13.4,2.1,6.3,1.3,B0CBP8CL71,8.5,-1.3,3.4,-1.2,B07VX6GH88,4.8,-0.4,2.6,0.1,10000,29,211410,2066495.3,88774,4.4
midi dresses for women,84824,4.6,2798,3,4,0,0.3,0.2,B0BRFWLY31,1.4,0,0.1,0,B09ZLG7F4B,1.3,0,0.2,0.2,B0BRFVH9WS,1.3,0,0.1,0.1,30000,,85563,3831456.18,12547,4.3
belts for women,84824,38.9,3103,26,12.2,-0.3,3.6,-0.7,B0CLJFZRH2,4.6,-1.5,1.4,-1,B09GVS3TBD,4,0,1.2,0.1,B0C1MQ9R45,3.6,1.2,1,0.1,9000,,21691,458558.51,7051,4.4
versace eros,84824,6.4,2839,17,53.7,0,46.5,0.5,B00B4TR3KG,35.3,-0.6,26.2,-1.7,B00F8OOBLC,12.8,2.6,13.8,2,B00EXW6SJS,5.6,-2,6.6,0.2,392,137,14025,827813.7,33058,4.7
clogs,84824,92.4,3358,54,36.2,4.5,7.9,2.4,B0BS6G9WG6,26.6,3.6,4.5,1.3,B0CL4XJCJW,6.6,0.9,2.5,0.3,B0CCTCV533,3,0,0.8,0.8,7000,,61266,2152303.71,4079,4.3
blink doorbell camera,84824,-61,2992,-176,72.5,-3.5,57.8,20,B08SG2MS3V,57.2,-4.9,48.2,20.4,B0BZHKBKRY,8.2,1.1,3.2,-5.1,B09G4CTT4G,7,0.3,6.5,4.6,506,,3803,72877.51,1351,1.4
male masturbator,84824,107.3,4076,43,33.7,13.4,8.3,-1.8,B0D31PKZ2L,19.8,12.1,0.4,-4.2,B09YG67BMY,7.7,0.6,5.9,3.8,B0C2CYYFW5,6.1,0.8,2.1,-1.3,3000,17,,,4882,4.4
hose nozzle,84822,-38.1,2981,-46,32.9,3.5,28,4.7,B07HF6YDYV,20.3,5.8,18.3,6,B09X2G9W5P,6.6,-0.9,5.8,-1,B08QVK1GXV,6,-1.4,3.9,-0.4,2000,48,51217,603152.13,31561,4.2
kitchen rugs,84822,-9.5,2934,-11,17.6,-1.6,7.7,0.3,B089YD445C,9.1,1,5.2,0.9,B0CMX4P985,4.8,-3,0.9,-0.6,B0C2Y3T5LN,3.6,0.3,1.6,0,50000,27,12940,353141.77,19407,4.4
electric toothbrush for adults,84822,-18.9,2853,-8,36.6,3.7,26.3,3,B072YVWBXH,18.7,1.4,13.9,-0.2,B09LD8T445,11.6,2.9,8.6,3.1,B0B5HRWH1S,6.4,-0.6,3.8,0.1,847,49,163108,7223607.48,154820,4.5
ginger chews,84822,6.5,2947,14,44.6,3.7,37.2,5.8,B0779PY9KC,23.1,5.8,18.1,4.5,B086L2N35G,12.3,-3,11.4,-1.8,B005ISUOEQ,9.2,0.8,7.7,3.2,993,104,39335,376164.92,43128,4.7
dorm decor,84822,23.1,3551,21,9.5,-2,4.7,-0.5,B07SYP4TL2,3.6,-0.3,2.7,1.5,B0CN11479K,3.2,-0.6,1.2,-1,B09V7M9DSK,2.6,-1,0.7,-1,100000,35,17239,248698.8,20297,4.6
nest thermostat,84822,-47.4,2916,-59,33.1,-23.5,19,-18,B0D5BBYRJM,11.9,-9.1,4.5,-8.1,B08HRPDBFF,11.2,-7.4,9.5,-7.6,B08HRWWCTR,10,-7,5,-2.2,265,30,16374,2275635.43,10231,3.9
adam sandler,84822,627.1,5367,86,48.5,5.3,0,0,B00D5UHT56,30.6,3.4,0,0,B00D5UG9OS,11.9,2.2,0,0,B00D5UHQ7M,5.9,-0.3,0,0,854,,,,,
acne patches,84822,6.5,2878,7,37.7,-1.1,34.2,2.9,B074PVTPBW,21.3,-0.3,20.6,5.6,B0CCRWC6W9,9.9,-2.4,9.4,-3.5,B07FPT52DY,6.5,1.6,4.2,0.8,1000,59,222664,2215258.8,163891,4.5
horror movies free to me,84822,302,5347,72,10.2,-1.1,0,0,B0B8JYL1LR,3.9,-0.2,0,0,B0CJRJ6LCB,3.2,-0.4,0,0,B0CKMZ842F,3,-0.5,0,0,3000,,,,,
frozen,84820,4.5,2927,12,45.2,2,0,0,B00J2PRYSK,24.1,4.3,0,0,B0CMBP839H,15.8,-1.9,0,0,B00HV2KT06,5.3,-0.4,0,0,10000,,,,,
wrinkle cream for face,84820,,13522,,99.2,99.2,9.1,9.1,B0DCK1DCHF,99,99,0,0,B0BBSP2JNQ,0.1,0.1,6.1,6.1,B002JDUMFO,0.1,0.1,3,3,9000,70,126038,2128428.6,75857,2.9
zero water filter,84820,4.6,2960,-2,39.3,-4.4,38.6,3.1,B001CUQ1C8,22.8,-1.9,27,-0.6,B0BWSF53MV,8.9,-2.4,2.5,-2,B00C7N7L1E,7.6,-0.1,9.1,5.7,363,157,81224,3363108.01,174769,4.5
scooter,84820,4.7,3044,4,19.8,3.5,10.7,2.9,B0CND33L6H,7.3,1,3.3,2,B09ZY6M8XH,6.9,1.4,5.4,1.7,B086JHCJTX,5.7,1.1,2,-0.8,2000,26,15949,3263662.47,5559,4.3
legally blonde,84820,-9.7,3222,9,89.7,1.2,0,0,B00D5YXXMK,73.6,2.4,0,0,B00CSBF4DM,8.4,-2.8,0,0,B000VCLGBY,7.8,1.6,0,0,267,,,,,
iphone charger cord,84818,7.5,2903,10,37.2,8.4,27.7,5.6,B08D6TPP5Y,22.9,9,14.4,5.7,B0BGSDTZVF,9.8,0.4,8.8,0.4,B09D7NN6YZ,4.5,-1,4.4,-0.5,2000,38,,,69110,4.4
rocking chair,84818,25.9,3050,24,15.6,-3.6,4.7,-5.6,B0D1KB4PG3,6.1,-1.1,0.1,-6.8,B0B69G39X6,4.8,-2.4,3.3,1.2,B0CNGMH1SM,4.7,-0.1,1.3,0,10000,15,4700,626583.04,2401,4.5
throne of glass,84818,4.6,2920,-10,64.5,-3.8,46.3,-1.8,B007N6JEII,29.2,1.9,18.7,2.6,1639730958,22.9,0.8,21.2,-2.8,B08PD33VZ3,12.5,-6.5,6.3,-1.6,594,,,,,
end table,84818,4.7,2930,5,13.6,2.6,9.1,4.8,B08JV2MTWZ,5.5,1,3.6,1.9,B07FKX3H1H,4.4,0.7,3.7,2.1,B0B93L5WPW,3.7,0.8,1.9,0.9,9000,47,23913,707861.11,19485,4.6
dinnerware sets,84818,-9.6,2963,-11,12.2,0.2,6.7,1.2,B00R790CLY,4.3,-0.9,2,-0.9,B091G4K92L,4.3,0.6,2.6,0.8,B099864TR2,3.6,0.4,2.1,1.3,3000,72,10582,600069.54,17484,4.6
hotel portofino,84818,744.3,3188,89,55.6,13.8,0,0,B09RZHTMM2,23.3,4,0,0,B0B2P7BKK1,19.1,5.1,0,0,B09Z2P9BBC,13.2,4.7,0,0,84,,,,,
velvet hangers,84816,4.6,3000,1,30.3,-3,18.7,0.3,B01G3WS3PW,10.2,-3.9,6.1,0.4,B01IRHUV6A,10.1,0.4,5.4,-1.7,B07GYLFFVR,9.9,0.5,7.2,1.6,551,90,163524,4181243.17,158276,4.7
ant killer,84816,-8,3037,-13,32,-7.7,25.5,-12.5,B0015031R8,13.7,-9.7,10.5,-14.7,B001B1KGCO,11,2.5,7.2,1.6,B00E4GACB8,7.3,-0.5,7.8,0.6,1000,228,68641,636759.47,206542,4.5
makeup remover,84816,4.7,2983,5,35.1,2.2,29.8,2.8,B017PCGABI,16.4,1.9,11,2.1,B00U2VQZDS,9.5,0.3,10.5,0,B017PCGAXQ,9.2,0.1,8.3,0.7,4000,107,215568,1965460.99,214721,4.8
full size mattress topper,84816,57,3469,30,31.3,7.2,20.5,3.9,B0CWRDGJVY,15.4,1.4,7.8,-3.8,B01MRL0H2B,10.1,4.9,8.1,5.5,B08KNZL6BB,5.9,0.9,4.5,2.2,851,50,232624,10860004.94,161021,4.5
coffee bar,84816,4.8,2926,7,14,1.8,5.8,0.9,B09PFY63JQ,5.2,0.5,3.9,1.2,B0BK9Q6FT7,5,1.2,1.1,0.3,B0BLW1W4DL,3.8,0.1,0.9,-0.6,40000,27,3125,276274.46,2673,4.5
sherlock holmes,84816,56.7,2931,46,50.8,13.7,0,0,B00BXMB4BS,32.7,10.1,0,0,B00BXMC85O,13.9,4.9,0,0,B018WH4710,4.3,-1.3,0,0,8000,,,,,
lightning cable,84814,4.6,2937,0,35.7,3.5,26.8,6.9,B08D6TPP5Y,20.7,8.4,12.7,5.5,B09D7NN6YZ,9.9,-1.5,9.8,-1.3,B0CWP5CVRZ,5,-3.3,4.3,2.7,2000,32,,,56926,4.4
measuring tape,84814,33.8,3102,26,33.9,6.6,31.9,5.5,B07WG5B464,14.9,2.7,14.7,2,B07TFYBHBQ,9.7,0,7.7,-2.3,B000BQKXLE,9.3,3.9,9.6,5.8,3000,70,39179,243555.2,72373,4.7
battery pack,84814,-9.6,2959,-16,27.6,2.9,22.1,1.8,B07CZDXDG8,13.7,0.6,11.9,-0.2,B07XFBN7HX,9.6,3.3,8.2,4.7,B0C4JTVBBH,4.4,-1,2,-2.7,8000,53,39635,805505.09,172027,4.4
drying rack clothing,84814,4.6,2976,-4,38.3,-5.1,39.5,2.3,B00H7P1GPO,27.6,-1.1,28.1,6.8,B00H7P1G7C,6.4,-1.6,6.1,-5.1,B0924X7ZYJ,4.4,-2.4,5.3,0.6,1000,98,12325,337530.31,6981,1.4
collapsible laundry baskets,84814,6.6,2988,0,32.4,-1.2,21.5,1.5,B0882ZPRF7,23.8,0.4,17.4,1.6,B09T5MCGNX,5.5,0.2,2.4,0.8,B08D9177XR,3.2,-1.8,1.7,-0.8,3000,45,75028,2218498.32,25231,4.6
tension curtain rod,84814,38.9,3181,26,28.3,-2.4,15.2,0.8,B09P53L5LF,10.1,-4.5,6.5,1.3,B0C6KHGK42,9.3,0.7,5.2,1,B0BV6J14J2,8.9,1.3,3.5,-1.4,2000,23,54228,875099.83,7839,4.4
boom boom nasal stick,84814,2434,8964,95,88.4,8.9,77.7,6.8,B07Z31SGD8,49.1,-2.6,43.2,-4.8,B01E9J0CAA,33.4,16.6,30.1,15.7,B07531FNG1,5.9,-5.1,4.4,-4.2,114,81,56655,1164146.53,42092,4.3
lamps,84812,-18.8,2949,-14,11.9,1.7,5,-1.5,B0C4SZBN64,4.3,0.1,1.5,0.4,B0CP3YL6QJ,4.2,0.9,1.1,-2.7,B08Z36X6B4,3.4,0.7,2.5,0.8,10000,24,14030,692432.41,6123,4.5
gr,84812,4.4,3377,-2,36.4,-6.8,0,0,B07K6XX8TB,16,-7.8,0,0,B086VY7PBW,10.4,0.6,0,0,B00BWETWPM,10,0.4,0,0,1000,,,,,
ballet shoes for girls,84812,138.7,3443,63,57.3,3,7,-0.3,B07KBV688F,32.8,2.9,4.4,0.1,B07TYV3LR4,12.9,-3.8,1.6,-0.8,B095LYTRM5,11.6,3.9,1,0.4,1000,,165654,1702874.86,48037,4.7
heating pad for period cramps,84812,10.2,3005,22,20.9,-0.7,10.3,-1.1,B09PTGQ4CK,8.7,0.6,2.1,-0.1,B07T85CNX2,7.3,-0.5,4.6,0.4,B09LHCN264,5,-0.7,3.5,-1.4,733,44,38337,1293496.13,65470,4.4
chouyatou women's color block vertical striped open front oversized hooded long cardigan sweaters wi,84812,,15566,,23.4,23.4,6.3,6.3,B0D6W3Z5VF,8.8,8.8,2.2,2.2,B0D6W1DR6X,7.7,7.7,1.5,1.5,B0D6W22GP6,6.9,6.9,2.7,2.7,205,,735,29242.98,9,1.4
electric guitar,84811,4.6,2886,5,25.5,3.7,11.7,1,B00479EI76,8.8,0.5,3.3,-0.4,B0CSM4HPJK,8.8,0.8,4.6,1.4,B07DG4VCKG,7.9,2.4,3.8,0,2000,83,2891,411620.14,15458,4.5
star balloons silver,84811,3684.5,6266,99,99.9,4.6,0,0,B0D7H7LHTT,98.6,5,0,0,B0D7CNGFHM,1.3,0.4,0,0,B099N63GX5,0,-0.8,0,0,2000,16,1809,14653.61,930,1.4
sauna,84811,6.7,3399,1,37.1,2.8,24.7,4.2,B0CKXTQRMF,25.8,5.8,23.9,4.3,B00A2F99F0,6.3,-2.2,0.5,0.2,B002063VYY,5,-0.9,0.2,-0.3,709,,2503,1042072.05,1420,4.6
chair covers,84809,7.5,2917,13,14.4,1.5,4.9,0.5,B0CQ7YQJ5H,5.8,1.2,1.5,0,B09V13DP1J,4.5,0.3,1.7,0,B09NSBK34H,4.2,0,1.8,0.6,10000,25,9100,299572.65,5717,4.5
ipad 10th generation case with keyboard,84809,29.3,3039,29,29.7,9.7,12.2,2.5,B0C375272K,16.2,9,6.7,2.7,B0BNV138VD,8.1,1.7,2.4,-0.5,B0CC95YP38,5.4,-0.9,3.1,0.2,680,17,,,3017,4.4
